registration,make,model,procSpeed
el4K9yp,Razer,Blade,3.2
uXCQwV1,Razer,Blade,3.5
LdBDUql,Razer,Blade,3.3
QVSwNFY,Razer,Blade,3.4
P8fIopk,Razer,Blade,3.2
tnRZ4d5,Razer,Blade,3.8
65DIjuW,Asus,ROG,3.6
rSyoBxd,Razer,Blade,3.2
SEJwHn2,Razer,Blade,3.4
6iiRivf,HP,Omen,3.3
V59V41i,Razer,Blade,3.0
RGOQDgo,Razer,Blade,3.1
S1KXAIs,Asus,ROG,3.3
c1oKaYI,Razer,Blade,3.4
Dy3pmma,Alienware,Area-51,3.5
sXqU5gm,Acer,Predator,3.2
4yY0CJ4,Razer,Blade,3.3
D5GM7Ze,Alienware,Area-51,3.5
PONhMA2,Razer,Blade,3.3
Ppx00o3,Razer,Blade,3.8
hNubRSH,Razer,Blade,3.2
QIhz1MC,Acer,Predator,3.0
qv88ETa,Razer,Blade,3.2
xiRYIla,Razer,Blade,3.6
92dSm9m,Razer,Blade,3.3
hcE5PXV,Razer,Blade,3.4
ys8lG00,Alienware,Area-51,3.0
Cc8nP40,Acer,Predator,3.6
1vxQkh2,Razer,Blade,3.5
ugGkdvC,Razer,Blade,3.7
O3LdErw,Razer,Blade,3.7
ycdu7lV,Razer,Blade,3.0
1zWDThj,Lenovo,Legion,3.5
GCVTk0G,Razer,Blade,3.8
BJpNI32,Asus,ROG,3.4
iJi25cK,HP,Omen,3.3
iH6Mrff,Razer,Blade,3.8
zpSvNTn,Lenovo,Legion,3.7
SwdIB5Y,Razer,Blade,3.7
NFdqJ1l,Lenovo,Legion,3.5
ZiWtBZF,Lenovo,Legion,3.4
hqrecxb,Lenovo,Legion,3.5
xIBS1aX,HP,Omen,3.3
qBnny1U,Alienware,Area-51,3.4
B28si0m,Razer,Blade,3.3
qXbGSUV,Lenovo,Legion,3.5
0aiHHVv,Asus,ROG,3.5
uZapACX,Asus,ROG,3.4
Mt5bQnw,Lenovo,Legion,3.2
eWmZwaU,Razer,Blade,3.5
TwlYTSv,Razer,Blade,3.2
mEsgqt0,Alienware,Area-51,3.6
Ce6aCVB,Razer,Blade,3.1
kZ3WoXW,Razer,Blade,3.0
cYBWy7Y,HP,Omen,3.0
0ZyaVSc,HP,Omen,3.5
vBj0vpW,Razer,Blade,3.6
HsvkkMS,Asus,ROG,3.0
0hdfleq,Razer,Blade,3.7
rMHxUvy,Razer,Blade,3.5
Qdd1VOG,MSI,Raider,3.6
yWyPDP8,Razer,Blade,3.0
sVLxzJc,Razer,Blade,3.8
vwYv4LW,Razer,Blade,3.5
xsEu7rt,Razer,Blade,3.5
6S8tiY4,Acer,Predator,3.1
YFk8bJm,Razer,Blade,3.7
aoKZaN4,Razer,Blade,3.4
j6sYQjH,Acer,Predator,3.3
4I3GK59,Razer,Blade,3.3
q5xfugP,Razer,Blade,3.7
f81P8uO,Alienware,Area-51,3.4
HExveX4,MSI,Raider,3.8
xH6SHfd,MSI,Raider,3.7
S8yX95i,Alienware,Area-51,3.5
fSzeJQY,Lenovo,Legion,3.6
nXohOj7,Razer,Blade,3.3
lJMmoNj,Lenovo,Legion,3.2
YVj0q8u,Acer,Predator,3.1
XWcaQWr,HP,Omen,3.5
Uo71M34,Lenovo,Legion,3.2
8QpRXEM,Razer,Blade,3.8
iTvvQHB,Razer,Blade,3.5
AXJD78E,HP,Omen,3.7
pNIVH9F,MSI,Raider,3.3
qqiooPr,Acer,Predator,3.5
K9Y1mMA,Razer,Blade,3.5
rviOpbE,Razer,Blade,3.1
Pf3i65H,Asus,ROG,3.0
dmGfgUC,Lenovo,Legion,3.6
77pAe0c,Razer,Blade,3.3
n6J9zRY,Alienware,Area-51,3.2
FaASVuz,Razer,Blade,3.8
oXWHAdX,Asus,ROG,3.2
Liu7CPq,Razer,Blade,3.7
oSIccXa,Razer,Blade,3.4
7i4dm15,Acer,Predator,3.0
6fnLXlD,Razer,Blade,3.8
RvySb6W,HP,Omen,3.1
WWdTeWw,Razer,Blade,3.1
hWGWBIy,Razer,Blade,3.4
gyVmHlS,HP,Omen,3.4
LfSEtDK,Razer,Blade,3.4
WVVkvmR,Razer,Blade,3.3
jSWKjQw,Razer,Blade,3.5
htVBMGQ,Razer,Blade,3.6
96y04eZ,Lenovo,Legion,3.0
7WXdCzh,Razer,Blade,3.6
zQU3VWc,Acer,Predator,3.7
E1UhHZp,Razer,Blade,3.7
fdoBdzy,Razer,Blade,3.3
05b9prm,Razer,Blade,3.1
7QNYoy9,MSI,Raider,3.5
QHhI0Cm,Razer,Blade,3.3
AErZIO7,Alienware,Area-51,3.7
xzTA7un,MSI,Raider,3.0
IuKDoAj,Alienware,Area-51,3.5
ao6zYHw,Razer,Blade,3.1
kQl4rqj,Razer,Blade,3.0
OT4ANkI,Razer,Blade,3.0
s7aXgSj,Asus,ROG,3.7
CDKNFUL,Alienware,Area-51,3.3
2RDpyd7,Razer,Blade,3.4
2dwlTCT,Razer,Blade,3.6
XxtTDet,Lenovo,Legion,3.3
JeD3APi,Asus,ROG,3.0
4xMNYz1,Razer,Blade,3.1
QwmLIn4,Alienware,Area-51,3.4
mW2HWQm,Razer,Blade,3.8
Ii3aruZ,Razer,Blade,3.7
M4cEq0v,Razer,Blade,3.6
ihYMxJN,Razer,Blade,3.7
aHbxwTz,Razer,Blade,3.7
Apqlnju,MSI,Raider,3.7
4xaWOEk,HP,Omen,3.6
kHmJuYm,Razer,Blade,3.8
g6pwcVf,Razer,Blade,3.8
AHmZKRB,Razer,Blade,3.5
fsojhdK,Razer,Blade,3.0
aw1CGKw,Alienware,Area-51,3.0
RwVPFaQ,Razer,Blade,3.7
oETMuBV,Acer,Predator,3.7
c2n87AU,Razer,Blade,3.0
4VuOS94,Razer,Blade,3.4
uSh6KHa,Razer,Blade,3.2
lWhr6rY,Razer,Blade,3.6
2OpgY85,Acer,Predator,3.5
uBIiZpO,Razer,Blade,3.7
B0iHm2z,Razer,Blade,3.5
2wbDIAG,Razer,Blade,3.1
z3s4kuC,Razer,Blade,3.5
7ZWdaCV,Razer,Blade,3.1
MlkqcNl,Razer,Blade,3.8
UtdQYVq,Razer,Blade,3.2
fy3kjrD,MSI,Raider,3.0
JwS13k3,Razer,Blade,3.3
RDKYwaU,Alienware,Area-51,3.6
BYYi5nU,Razer,Blade,3.0
D4jW9YQ,Razer,Blade,3.3
PokoZBe,Alienware,Area-51,3.3
JsqAcAW,Razer,Blade,3.2
Cofb8Rm,Razer,Blade,3.4
OBpNnfe,Lenovo,Legion,3.4
J8J90AB,Razer,Blade,3.6
wLMgLBq,Razer,Blade,3.2
77Alk05,Alienware,Area-51,3.5
3YEVxnN,Acer,Predator,3.3
CKVnlsC,Razer,Blade,3.6
lZt3PaR,Asus,ROG,3.2
jocAJ2p,MSI,Raider,3.2
mFOP5nh,Acer,Predator,3.0
CfxoWpw,HP,Omen,3.0
66GMQdG,Lenovo,Legion,3.6
FBJr9FU,Razer,Blade,3.1
nhl7Qgn,Asus,ROG,3.5
2Deq5Zo,Razer,Blade,3.1
64y1bqM,Razer,Blade,3.5
7TBlbgo,HP,Omen,3.0
jo2Ejsq,Razer,Blade,3.3
ImuyYq0,Asus,ROG,3.0
2RpyZgA,Alienware,Area-51,3.5
OlR8TuD,Lenovo,Legion,3.4
crFNzNN,Razer,Blade,3.6
VFS2KxB,Asus,ROG,3.3
vzoQfX1,Razer,Blade,3.4
SeA5f7L,Acer,Predator,3.1
uc2aqmh,Acer,Predator,3.2
gYcHeuR,Razer,Blade,3.7
kji6o1U,Razer,Blade,3.7
SwosF9n,Razer,Blade,3.6
BL433SQ,MSI,Raider,3.2
nINYRjd,Razer,Blade,3.8
f7eWuSJ,Razer,Blade,3.8
QufQz3O,Razer,Blade,3.1
eNuRpe5,Razer,Blade,3.7
fqaankK,Razer,Blade,3.6
DotMbG8,Razer,Blade,3.2
4O6ol6K,MSI,Raider,3.3
zl2O8XX,Asus,ROG,3.5
kpYpRna,Alienware,Area-51,3.0
jtxdRzj,Razer,Blade,3.5
vtlW8uR,Lenovo,Legion,3.0
YiBHW2P,Razer,Blade,3.3
MqBgobD,Razer,Blade,3.2
YmOXwt1,Razer,Blade,3.8
zAGdU9H,Razer,Blade,3.7
OlAN17d,Razer,Blade,3.1
6GrWNeE,Razer,Blade,3.4
Pwf9U8w,Alienware,Area-51,3.2
4ntwlYm,Razer,Blade,3.0
UtfmIsE,Razer,Blade,3.4
CfNaAKu,Razer,Blade,3.3
n8dDAWm,Razer,Blade,3.0
w0lCOQP,Razer,Blade,3.3
vvqr0tl,MSI,Raider,3.8
K4KIH8L,Razer,Blade,3.6
ZLLxv2m,Asus,ROG,3.3
JwXoYg0,HP,Omen,3.0
sDRgGeV,Razer,Blade,3.2
YmU0pSk,Razer,Blade,3.1
rLe5ark,Razer,Blade,3.3
ezJfMhE,Razer,Blade,3.3
YkuNiau,Acer,Predator,3.3
NAERc9k,Razer,Blade,3.3
jZR5KCm,Razer,Blade,3.7
2fKCXXy,Razer,Blade,3.8
r4nFJJP,MSI,Raider,3.5
hB6I4Np,Razer,Blade,3.4
vrp5uw6,Acer,Predator,3.0
oZQ5gjM,Razer,Blade,3.4
1cXYc7X,Razer,Blade,3.8
XTLPZYm,Razer,Blade,3.7
vh0Z0vK,Alienware,Area-51,3.5
bFViaPW,Razer,Blade,3.2
HozCsgf,HP,Omen,3.3
gTVExIk,MSI,Raider,3.5
JCvDA3C,MSI,Raider,3.5
9W3BfkF,HP,Omen,3.3
9Ttm5x8,Razer,Blade,3.5
UN8pKGJ,Acer,Predator,3.8
4mmtWpV,Alienware,Area-51,3.4
3PMCcon,Lenovo,Legion,3.2
PO9NFdV,Asus,ROG,3.8
GesgVJq,MSI,Raider,3.6
Leg5kE6,Razer,Blade,3.1
533nYcq,Asus,ROG,3.4
SjUqqiv,Alienware,Area-51,3.4
4awzGUH,Alienware,Area-51,3.2
MWrR5c3,Razer,Blade,3.7
0JvEvX3,MSI,Raider,3.7
VCoIJPM,HP,Omen,3.6
C8hS26L,Razer,Blade,3.2
K76Ba1t,Razer,Blade,3.7
AFxGqyD,Alienware,Area-51,3.7
VMLDr2s,Alienware,Area-51,3.5
iI6z4UE,HP,Omen,3.6
BShruPw,Lenovo,Legion,3.7
porf8jo,MSI,Raider,3.3
y3rHhfd,Razer,Blade,3.4
w3Yoo4L,Razer,Blade,3.2
0feYwOO,HP,Omen,3.0
96Bd1Xd,Razer,Blade,3.8
vzPfwdL,Razer,Blade,3.5
FU23a7c,Razer,Blade,3.2
NAGVnmn,Razer,Blade,3.1
35BDAw7,Alienware,Area-51,3.8
jGf4kde,Lenovo,Legion,3.3
bP9D7wr,Razer,Blade,3.3
Bjo9dnK,Alienware,Area-51,3.1
15aOj8Z,Asus,ROG,3.1
aELYZQt,Asus,ROG,3.0
WdiCp0N,Razer,Blade,3.7
XcInoMn,Razer,Blade,3.0
Y2lERd6,Razer,Blade,3.7
ZUbLEcH,Razer,Blade,3.8
4bJ15bm,Lenovo,Legion,3.4
i5vU4vs,Razer,Blade,3.6
bVlJHdS,Lenovo,Legion,3.2
gpTqxMO,Alienware,Area-51,3.3
QcE2rFN,MSI,Raider,3.5
CUctbQH,Razer,Blade,3.4
MfWm9av,Razer,Blade,3.3
dqYzplb,Razer,Blade,3.5
FNrRJ4S,Razer,Blade,3.7
3OmKZCm,Lenovo,Legion,3.3
DWwD9xw,Lenovo,Legion,3.1
O3ICsR4,Razer,Blade,3.0
gnarReQ,Razer,Blade,3.1
qqKs39A,Razer,Blade,3.7
pjOu2Kh,HP,Omen,3.4
y1Uc4aU,Razer,Blade,3.4
wvIniOv,Lenovo,Legion,3.2
n1veKrd,Lenovo,Legion,3.5
jGtEauo,Acer,Predator,3.7
6ynRMZ3,HP,Omen,3.3
e85q1Wg,Razer,Blade,3.8
RmwJF7K,Razer,Blade,3.7
fV1SMvO,Lenovo,Legion,3.8
cIuFxiJ,Asus,ROG,3.2
BhPbbjo,Razer,Blade,3.7
LV4WXRV,Razer,Blade,3.6
0wA7wel,Acer,Predator,3.0
EuLqJVy,Razer,Blade,3.7
4qoGwzK,Razer,Blade,3.1
lfk9Uaf,Alienware,Area-51,3.8
v2yIVRq,Razer,Blade,3.7
Ojmb6t6,MSI,Raider,3.3
JyL9cep,Asus,ROG,3.8
0UHdYxs,Asus,ROG,3.1
Q83kyi2,HP,Omen,3.4
r4DtQI0,HP,Omen,3.8
8y3jW7E,Asus,ROG,3.8
M1xDaF5,Razer,Blade,3.1
jLHFrnJ,Razer,Blade,3.5
KJiXDzy,Razer,Blade,3.5
rVxa66G,Asus,ROG,3.5
pZOE1JX,MSI,Raider,3.0
bb1hcqE,Acer,Predator,3.0
h2Lglu7,MSI,Raider,3.4
y4LizAv,Asus,ROG,3.7
tC7Ng4V,Razer,Blade,3.1
Iv6eQCw,Razer,Blade,3.0
OqPvjJo,Razer,Blade,3.1
6iHOfRH,Lenovo,Legion,3.3
rfk6EUu,Razer,Blade,3.4
LpqN0wa,Razer,Blade,3.4
Kz9JRll,Lenovo,Legion,3.0
G9e3EFw,Razer,Blade,3.6
xp0SLnW,Razer,Blade,3.5
mpRdE85,Lenovo,Legion,3.2
WhL4raz,Razer,Blade,3.6
3nu7ldk,Razer,Blade,3.5
pMb9iHd,Asus,ROG,3.5
murNgWI,MSI,Raider,3.0
yQ50iQP,Asus,ROG,3.2
5s3qbzb,MSI,Raider,3.6
W6IRRz6,Razer,Blade,3.0
zrRpj8q,MSI,Raider,3.3
YeZDbKz,Razer,Blade,3.5
qlK9znF,Razer,Blade,3.2
PWKkmRo,Razer,Blade,3.7
d7EFBrf,Razer,Blade,3.7
IkmpusI,MSI,Raider,3.8
k4ohHv4,Razer,Blade,3.7
1MUOuxE,Alienware,Area-51,3.8
EjBZWfz,MSI,Raider,3.4
tLsfgxf,HP,Omen,3.8
Qwf1JSQ,MSI,Raider,3.4
2bb3zyq,Razer,Blade,3.5
OWN4moY,Alienware,Area-51,3.0
jX998FX,Lenovo,Legion,3.3
RrsdNh1,Asus,ROG,3.0
nbYw7be,Asus,ROG,3.8
NE4Ha9F,Razer,Blade,3.3
yKEnaXx,Acer,Predator,3.1
dlNgbng,Acer,Predator,3.0
rkLXmhA,Razer,Blade,3.1
xYeiOFs,MSI,Raider,3.0
4bsAwk8,Acer,Predator,3.5
hrsDBCP,Asus,ROG,3.6
W5GIwEZ,Alienware,Area-51,3.6
Gv5kDQl,MSI,Raider,3.7
D7ksHA4,Acer,Predator,3.2
7WuOBEV,Acer,Predator,3.7
BUHk8oM,HP,Omen,3.5
TuwJ1Gm,Lenovo,Legion,3.1
futPnRJ,Lenovo,Legion,3.5
3HVuNa4,Razer,Blade,3.4
zgZ3vk4,HP,Omen,3.8
ElZhQI6,Razer,Blade,3.0
rCpiAzF,Razer,Blade,3.0
92MdjJ5,Lenovo,Legion,3.3
dXsbbIy,Acer,Predator,3.4
aIaN25r,Lenovo,Legion,3.0
z3T8VlF,Razer,Blade,3.6
msf7BAp,Razer,Blade,3.5
E81a9kh,Razer,Blade,3.0
4Rqx8VT,Razer,Blade,3.1
9iIYdFr,Razer,Blade,3.8
hB6aTbU,Razer,Blade,3.0
HUcaaAK,Razer,Blade,3.1
ePdmMlM,Lenovo,Legion,3.8
8PWb0MT,Razer,Blade,3.6
raSi578,Razer,Blade,3.5
JiiOlun,Razer,Blade,3.0
BA7FLEy,Razer,Blade,3.6
SU79Tzy,Asus,ROG,3.3
XqocS4B,HP,Omen,3.2
SQijDPr,Razer,Blade,3.3
Wkja4d6,Razer,Blade,3.0
qj5OVMY,Acer,Predator,3.0
hultFDc,Asus,ROG,3.4
d0U1jWS,Razer,Blade,3.5
bdvCMBD,Razer,Blade,3.8
B6Zkhrc,Razer,Blade,3.0
o7cRvu3,Razer,Blade,3.7
JJaAZCW,Razer,Blade,3.5
xRAlcI7,Acer,Predator,3.6
VpV7wAR,Acer,Predator,3.7
w5yW1oP,Razer,Blade,3.0
AAyvngi,Razer,Blade,3.7
ekJents,Razer,Blade,3.4
b9r5C8C,Razer,Blade,3.0
V1Yvf5h,Razer,Blade,3.2
YNJYRGz,MSI,Raider,3.0
CbMErfK,Acer,Predator,3.4
PJFkeCf,Razer,Blade,3.3
JLsCt43,Acer,Predator,3.5
bxsxhJY,Razer,Blade,3.4
2ZrOxpa,Razer,Blade,3.6
SxtuG3t,Alienware,Area-51,3.2
0grxsmz,Razer,Blade,3.3
8T8RIR9,Razer,Blade,3.8
PehPgIu,MSI,Raider,3.8
PyZsHeE,Razer,Blade,3.7
0RGrfpJ,Razer,Blade,3.1
zPraXOf,Razer,Blade,3.7
ZGyWvzX,MSI,Raider,3.3
I8VI9YK,MSI,Raider,3.1
r1Ch9px,Razer,Blade,3.7
E2tNtAi,MSI,Raider,3.6
S6XpCj1,Razer,Blade,3.2
WIz1UaT,MSI,Raider,3.4
AqDX2Uf,HP,Omen,3.0
1sk038Z,Razer,Blade,3.3
QDAPHAq,Acer,Predator,3.1
OPYmRMN,Razer,Blade,3.6
DFhV7MY,Asus,ROG,3.5
k3sbze1,Alienware,Area-51,3.7
wzCfwQy,Alienware,Area-51,3.0
mQJMko5,MSI,Raider,3.4
dHJ0EZe,HP,Omen,3.7
U8iyPKO,Razer,Blade,3.7
68DcZYh,Razer,Blade,3.3
9ESqBw5,Razer,Blade,3.2
dFbiotp,Razer,Blade,3.7
DVOeVnx,Asus,ROG,3.5
xZKZXAk,Razer,Blade,3.6
wLr3aKc,Razer,Blade,3.2
sHJs92p,Razer,Blade,3.6
1u1WybC,Razer,Blade,3.1
9n28B3Z,Razer,Blade,3.5
lIh1Rgm,Razer,Blade,3.0
VETNLL1,Lenovo,Legion,3.8
LddQsGV,Lenovo,Legion,3.0
IcLuvL7,Razer,Blade,3.3
ONHj1zH,Razer,Blade,3.6
J9MgD7C,HP,Omen,3.4
o5ZodD0,Alienware,Area-51,3.5
6Z2HedC,Razer,Blade,3.2
k6bTO0r,Asus,ROG,3.8
thScpwu,Razer,Blade,3.3
zG4RcCK,Razer,Blade,3.1
bBbvwP7,Razer,Blade,3.7
PXlMHal,Razer,Blade,3.3
qXh3r03,Lenovo,Legion,3.5
BxtQnER,Razer,Blade,3.5
lDh2czM,HP,Omen,3.3
Q6cho7m,Razer,Blade,3.7
s0xDKrh,Razer,Blade,3.4
mtRE9jx,Acer,Predator,3.5
u9ZxDxx,Lenovo,Legion,3.0
1cJPQD4,Razer,Blade,3.7
gqdL0iR,Razer,Blade,3.1
GehdJ53,Razer,Blade,3.8
oNqJtUF,Razer,Blade,3.8
bwZPKNF,MSI,Raider,3.7
oF07ziu,Razer,Blade,3.0
KyOXXJC,Razer,Blade,3.3
naokmG8,Razer,Blade,3.3
fCrF2ML,Razer,Blade,3.1
4ZKhCoF,Razer,Blade,3.4
LWIDNGk,Razer,Blade,3.7
39DKv4f,Lenovo,Legion,3.2
LMSU7FD,Razer,Blade,3.7
oVKH4jE,Razer,Blade,3.8
j9wuD7Y,HP,Omen,3.1
npttDkm,Razer,Blade,3.7
VutudIT,Acer,Predator,3.3
9V6q1B1,Razer,Blade,3.6
tfuKhQ3,Razer,Blade,3.6
eN2F6sC,Acer,Predator,3.3
z44cuY5,Razer,Blade,3.6
EMB8eNw,MSI,Raider,3.6
iW40zea,Razer,Blade,3.4
AiHkQoW,Alienware,Area-51,3.2
JZolmsl,Razer,Blade,3.1
G4TBDZL,Razer,Blade,3.0
uiCwSnX,Razer,Blade,3.8
Bwi5UUz,Razer,Blade,3.0
MePTuA0,Razer,Blade,3.3
vpRU6l2,MSI,Raider,3.5
7fdITtI,Acer,Predator,3.0
dmP1hsK,Razer,Blade,3.1
mpkSrAR,Lenovo,Legion,3.0
HppoN2x,Razer,Blade,3.1
6rsAyYm,MSI,Raider,3.1
dd41MLq,Acer,Predator,3.4
fY45TPB,Razer,Blade,3.1
D1yfT5o,Razer,Blade,3.2
cRg9iFc,Asus,ROG,3.8
WcKIfff,MSI,Raider,3.2
4mUC7L7,Razer,Blade,3.1
4yuHkq9,HP,Omen,3.4
V9kSJLt,Razer,Blade,3.6
GsNtZww,Alienware,Area-51,3.2
5SzN5fo,Razer,Blade,3.4
hc5x2E9,Asus,ROG,3.2
DLdU42K,MSI,Raider,3.5
01MvNM6,Razer,Blade,3.0
0msEzFW,Razer,Blade,3.4
cWhLXOc,Acer,Predator,3.8
0ytMhLD,Razer,Blade,3.5
3QJV2EN,HP,Omen,3.2
CAs8VsH,Razer,Blade,3.7
W4SVMFZ,Acer,Predator,3.5
nzYPGuM,Razer,Blade,3.3
v0mhvNm,Razer,Blade,3.4
CrkISka,Lenovo,Legion,3.4
BOE41l8,Asus,ROG,3.5
l1XtlYw,Razer,Blade,3.4
s549qav,Razer,Blade,3.8
8irrvTk,Razer,Blade,3.3
jt0lbBJ,Alienware,Area-51,3.1
7QRjm5Y,Razer,Blade,3.6
